事業者,物件名,都道府県,住所,収容台数,時間帯料金(生),最大料金(生),営業時間,満空,緯度,経度,取得日時,URL
三井のリパーク,三井のリパーク蹴上インクライン西駐車場,京都,京都府京都市東山区東分木町２８６番４,5,08:00-20:00 20分200円 ; 20:00-08:00 60分100円,全日 入庫後24時間以内 1100円,24時間,,35.009484795164,135.78839075916,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027301
三井のリパーク,三井のリパーク宝塚小林４丁目第２駐車場,兵庫県,兵庫県宝塚市小林４丁目６ー５,7,08:00-20:00 40分220円 ; 20:00-08:00 40分220円,全日 入庫後24時間以内 600円,24時間,,34.793658662646,135.35613104002,2026-07-31T02:12:13.613Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027302
三井のリパーク,三井のリパーク玉造１丁目第６駐車場,大阪府,大阪府大阪市中央区玉造１丁目１９ー１,5,08:00-20:00 15分220円 ; 20:00-08:00 15分220円,全日 8:00～20:00以内 1000円 ; 全日 20:00～8:00以内 400円,24時間,,34.677060320136,135.53217734451,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027303
三井のリパーク,三井のリパーク大阪駅北第３駐車場,大阪府,大阪府大阪市北区芝田２丁目３ー１４,8,09:00-21:00 10分550円 ; 21:00-09:00 10分550円,全日 21:00～9:00以内 2000円,24時間,,34.705745496826,135.49530130818,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027304
三井のリパーク,三井のリパーク大阪駅北第４駐車場,大阪府,大阪府大阪市北区芝田２丁目４ー３,12,00:00-24:00 10分550円,1，2，7～10番 入庫後4時間以内 3000円,24時間,,34.705876037475,135.49527908201,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027305
三井のリパーク,三井のリパーク南長崎１丁目駐車場,東京都,東京都豊島区南長崎１丁目１ー２０,2,08:00-20:00 20分220円 ; 20:00-08:00 60分110円,全日 8:00～20:00以内 1900円 ; 全日 20:00～8:00以内 500円,24時間,,35.723162773481,139.69298362371,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027306
三井のリパーク,三井のリパーク東岡崎駅前第１０駐車場,愛知県,愛知県岡崎市明大寺本町１丁目７,13,00:00-24:00 20分200円,全日 入庫後12時間以内 1400円,24時間,,34.953642590436,137.16498178387,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027307
三井のリパーク,三井のリパーク熊本新大江２丁目駐車場,熊本県,熊本県熊本市中央区新大江２丁目２３－８,8,00:00-24:00 60分100円,全日 入庫後12時間以内 300円,24時間,,32.80200762203,130.73402050016,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027308
三井のリパーク,三井のリパーク東淀川大隅２丁目第２駐車場,大阪府,大阪府大阪市東淀川区大隅２丁目４ー２７,7,00:00-24:00 60分220円,全日 入庫後24時間以内 600円,24時間,,34.750272181451,135.54638112673,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027309
三井のリパーク,三井のリパーク東淀川大桐２丁目駐車場,大阪府,大阪府大阪市東淀川区大桐２丁目１８ー３０,3,08:00-20:00 40分220円 ; 20:00-08:00 60分220円,全日 20:00～8:00以内 300円 ; 全日 入庫後24時間以内 700円,24時間,,34.747672430996,135.54474804907,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027310
三井のリパーク,三井のリパーク下落合４丁目第４駐車場,東京都,東京都新宿区下落合４丁目５ー４,11,08:00-18:00 15分220円 ; 18:00-08:00 60分110円,全日 18:00～8:00以内 500円 ; 全日 入庫後24時間以内 1900円,24時間,,35.717791156718,139.69479760941,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027311
三井のリパーク,三井のリパーク天王寺石ヶ辻町第３駐車場,大阪府,大阪府大阪市天王寺区石ケ辻町１８ー１５,8,00:00-24:00 15分200円,全日 入庫後4時間以内 1100円,24時間,,34.664047614859,135.52026226624,2026-07-04T09:09:56.515Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027312
三井のリパーク,三井のリパーク千駄木１丁目第５駐車場,東京都,東京都文京区千駄木１丁目２２ー１０,4,07:00-18:00 30分440円 ; 18:00-07:00 30分440円 ; 07:00-18:00 30分440円 ; 18:00-07:00 30分440円,月～土 7:00～18:00以内 2000円 ; 月～土 18:00～7:00以内 300円 ; 日祝 7:00～18:00以内 1500円 ; 日祝 18:00～7:00以内 300円,24時間,,35.723741651354,139.75955306852,2026-08-02T02:10:29.803Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027314
三井のリパーク,三井のリパーク日本橋蛎殻町１丁目第８駐車場,東京都,東京都中央区日本橋蛎殻町１丁目１８ー１１,18,08:00-20:00 15分330円 ; 20:00-08:00 60分110円 ; 08:00-20:00 15分330円 ; 20:00-08:00 60分110円,月～土 8:00～20:00以内 3000円 ; 月～土 20:00～8:00以内 300円 ; 日祝 8:00～20:00以内 700円 ; 日祝 20:00～8:00以内 300円,24時間,,35.682090964051,139.78318080214,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027315
三井のリパーク,三井のリパーク地下鉄平野駅前第３駐車場,大阪府,大阪府大阪市平野区平野本町２丁目１１ー２０,11,08:00-22:00 15分100円 ; 22:00-08:00 60分100円,全日 入庫後12時間以内 800円,24時間,,34.621352708018,135.55040339601,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027316
三井のリパーク,三井のリパーク仁王門新高倉駐車場,京都,京都府京都市左京区福本町４１０,5,08:00-18:00 20分200円 ; 18:00-08:00 60分200円,全日 入庫後24時間以内 1100円,24時間,,35.011884327218,135.77629443125,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027317
三井のリパーク,三井のリパーク尼崎稲葉荘１丁目駐車場,兵庫県,兵庫県尼崎市稲葉荘１丁目９ー２３,9,08:00-22:00 60分220円 ; 22:00-08:00 60分110円,全日 入庫後24時間以内 660円,24時間,,34.732190754623,135.38574807775,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027318
